Name: CCTV-13, URL: https://event.pull.hebtv.com/jishi/cp1.m3u8$订阅源, Date: None, Delay: 278 ms, Speed: 4.62 M/s, Resolution: 1920x1080
Name: CCTV-13, URL: https://piccpndali.v.myalicdn.com/audio/cctv13_2.m3u8$订阅源, Date: None, Delay: 5 ms, Speed: 0.05 M/s, Resolution: None
Name: CCTV-13, URL: http://61.136.172.236:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 242 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV-13, URL: http://61.136.172.236:9901/tsfile/live/0013_1.m3u8$订阅源, Date: None, Delay: 242 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV-13, URL: https://api.olelive.com/dis/live/CCTV13HD/hls.m3u8$订阅源, Date: None, Delay: 110 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-13, URL: http://139.196.151.191:2051/rtp/239.45.1.198:5140$上海电信组播源, Date: 2024-03-01, Delay: 229 ms, Speed: 0.19 M/s, Resolution: None
Name: CCTV-14, URL: https://event.pull.hebtv.com/jishi/cp2.m3u8$订阅源, Date: None, Delay: 278 ms, Speed: 4.62 M/s, Resolution: 1920x1080
Name: CCTV-14, URL: http://69.30.246.194/live/cctv14.m3u8$订阅源, Date: None, Delay: 14 ms, Speed: 30.49 M/s, Resolution: 1920x1080
Name: CCTV-14, URL: http://23.237.228.134/live3/CCTV14.m3u8$订阅源, Date: None, Delay: 128 ms, Speed: 8.30 M/s, Resolution: 1280x720
Name: CCTV-14, URL: https://piccpndali.v.myalicdn.com/audio/cctv14_2.m3u8$订阅源, Date: None, Delay: 5 ms, Speed: 0.05 M/s, Resolution: None
Name: CCTV-14, URL: http://61.136.172.236:9901/tsfile/live/0014_1.m3u8$订阅源, Date: None, Delay: 242 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV-14, URL: http://61.136.172.236:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 242 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV-14, URL: https://api.olelive.com/dis/live/CCTV14HD/hls.m3u8$订阅源, Date: None, Delay: 110 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-14, URL: http://139.196.151.191:2051/rtp/239.45.3.23:5140$上海电信组播源, Date: 2024-03-01, Delay: 229 ms, Speed: 0.19 M/s, Resolution: None
Name: CCTV-15, URL: http://69.30.246.194/live/cctv15.m3u8$订阅源, Date: None, Delay: 14 ms, Speed: 30.49 M/s, Resolution: 1920x1080
Name: CCTV-15, URL: http://23.237.228.134/live3/CCTV15.m3u8$订阅源, Date: None, Delay: 128 ms, Speed: 8.30 M/s, Resolution: 1280x720
Name: CCTV-15, URL: https://piccpndali.v.myalicdn.com/audio/cctv15_2.m3u8$订阅源, Date: None, Delay: 5 ms, Speed: 0.05 M/s, Resolution: None
Name: CCTV-15, URL: http://61.136.172.236:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 242 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV-15, URL: http://38.75.136.137:98/gslb/dsdqca/cctv15hd.m3u8?auth=test20251009$订阅源, Date: None, Delay: 24 ms, Speed: 0.36 M/s, Resolution: 1280x720
Name: CCTV-15, URL: https://api.olelive.com/dis/live/CCTV15HD/hls.m3u8$订阅源, Date: None, Delay: 110 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-15, URL: http://139.196.151.191:2051/rtp/239.45.1.200:5140$上海电信组播源, Date: 2024-03-01, Delay: 229 ms, Speed: 0.19 M/s, Resolution: None
